date,Electricity,PV,Cooling,Heat,Temperature,Dew Point,Humidity,GHI
2018-01-01 00:00:00,20843.67,1.89,2145.97,8.105,51.0,31.0,46.0,0.0
2018-01-01 01:00:00,20583.97,1.33,1920.7,8.195,50.0,28.0,43.0,0.0
2018-01-01 02:00:00,20712.07,3.08,1827.76,8.62,49.0,28.0,44.0,0.0
2018-01-01 03:00:00,20856.1,2.84,1875.58,8.695,47.0,26.0,44.0,0.0
2018-01-01 04:00:00,21168.49,3.04,1825.76,8.6,47.0,23.0,39.0,0.0
2018-01-01 05:00:00,21495.655,6.48,1859.3,8.905,48.0,21.0,34.0,0.0
2018-01-01 06:00:00,22593.122,10.0,1918.81,9.415,46.0,22.0,39.0,0.0
2018-01-01 07:00:00,22243.46,13.31,1846.99,9.255,45.0,24.0,44.0,5.0
2018-01-01 08:00:00,21454.49,305.21,1999.65,8.925,45.0,24.0,44.0,135.0
2018-01-01 09:00:00,21205.89,1692.97,2344.1,8.34,50.0,22.0,33.0,241.0
2018-01-01 10:00:00,20546.63,2936.25,2672.99,8.09,57.0,18.0,22.0,376.0
2018-01-01 11:00:00,20575.63,3939.1,3119.68,7.715,59.0,17.0,20.0,506.0
2018-01-01 12:00:00,21013.31,4287.77,3723.88,7.59,64.0,17.0,16.0,587.0
2018-01-01 13:00:00,20902.91,4137.31,4061.23,7.505,67.0,16.0,14.0,532.0
2018-01-01 14:00:00,21025.32,3696.46,4385.27,7.025,70.0,17.0,13.0,456.0
2018-01-01 15:00:00,21018.22,2857.5,4412.92,6.88,71.0,16.0,12.0,321.0
2018-01-01 16:00:00,21193.13,1243.21,4403.64,7.11,73.0,14.0,11.0,144.0
2018-01-01 17:00:00,21326.44,328.8,4226.53,7.56,73.0,14.0,11.0,6.0
2018-01-01 18:00:00,21277.43,113.725,3851.16,7.91,69.0,16.0,13.0,0.0
2018-01-01 19:00:00,21116.84,4.308,3589.77,7.845,65.0,18.0,16.0,0.0
2018-01-01 20:00:00,20443.76,4.86,3222.72,7.87,63.0,20.0,19.0,0.0
2018-01-01 21:00:00,20733.56,1.94,3214.4,8.055,58.0,23.0,26.0,0.0
2018-01-01 22:00:00,19780.08,1.71,2787.82,7.845,62.0,22.0,21.0,0.0
2018-01-01 23:00:00,19394.85,2.13,2370.12,7.743,55.0,25.0,31.0,0.0
2018-01-02 00:00:00,19487.75,1.99,2293.74,8.005,53.0,27.0,37.0,0.0
2018-01-02 01:00:00,19940.06,2.26,2240.18,8.075,53.0,26.0,35.0,0.0
2018-01-02 02:00:00,20032.76,3.35,2224.62,8.2,51.0,25.0,36.0,0.0
2018-01-02 03:00:00,19849.13,3.14,2135.95,8.32,51.0,27.0,39.0,0.0
2018-01-02 04:00:00,20771.54,2.52,2174.65,8.665,51.0,26.0,38.0,0.0
2018-01-02 05:00:00,21633.415,5.41,2271.325,8.87,50.0,26.0,39.0,0.0
2018-01-02 06:00:00,22704.69,9.34,2266.87,8.865,50.0,25.0,38.0,0.0
2018-01-02 07:00:00,23664.41,10.28,2375.81,8.915,49.0,25.0,39.0,3.0
2018-01-02 08:00:00,23906.51,281.02,2323.44,9.145,49.0,25.0,39.0,91.0
2018-01-02 09:00:00,23844.63,1103.83,2621.95,8.535,53.0,22.0,30.0,215.0
2018-01-02 10:00:00,23967.85,1992.37,3193.05,8.065,56.0,22.0,27.0,276.0
2018-01-02 11:00:00,23706.57,2996.63,3629.3,7.605,62.0,21.0,21.0,430.0
2018-01-02 12:00:00,23873.62,4501.85,4465.9,7.42,66.0,17.0,15.0,520.0
2018-01-02 13:00:00,24703.39,4441.9,5009.58,7.075,70.0,18.0,14.0,568.0
2018-01-02 14:00:00,25231.24,4219.725,5622.22,6.935,73.0,18.0,12.0,398.0
2018-01-02 15:00:00,24993.49,3487.39,5784.41,6.875,73.0,17.0,12.0,274.0
2018-01-02 16:00:00,24742.15,923.8,5523.94,7.045,74.0,16.0,11.0,145.0
2018-01-02 17:00:00,24185.49,130.67,5326.14,7.015,74.0,16.0,11.0,5.0
